name,depth,cx,h,x,cp,swap,ccx,total_gates,success_rate,entropy,unique_states,label
shor_clean_0,10,2,6,0,2,1,1,17,21.826171875,3.1934421070275425,16,0
shor_clean_1,10,2,6,0,2,1,1,17,22.1435546875,3.2860845073167875,16,0
shor_clean_2,10,2,6,0,2,1,1,17,23.3642578125,3.392351018481259,16,0
shor_clean_3,10,2,6,0,2,1,1,17,22.607421875,3.46842357769348,16,0
shor_clean_4,10,2,6,0,2,1,1,17,21.5576171875,3.4773565119187646,16,0
shor_clean_5,10,2,6,0,2,1,1,17,20.8251953125,3.4345060629253426,16,0
shor_clean_6,10,2,6,0,2,1,1,17,22.1435546875,3.3537656713839525,16,0
shor_clean_7,10,2,6,0,2,1,1,17,19.384765625,3.610579471878629,16,0
shor_clean_8,10,2,6,0,2,1,1,17,21.97265625,3.231230359299564,16,0
shor_clean_9,10,2,6,0,2,1,1,17,21.826171875,3.294337565851395,16,0
shor_malicious_0,7,1,5,2,1,1,1,16,11.9873046875,3.7742887516496704,16,1
shor_malicious_1,6,2,5,1,2,0,0,15,13.6474609375,3.1172520508345087,16,1
shor_malicious_2,7,0,5,1,2,1,1,15,42.96875,2.1014698586138425,15,1
shor_malicious_3,7,1,5,2,1,0,1,15,15.966796875,3.4250538617707083,16,1
shor_malicious_4,8,2,5,1,2,1,0,16,19.3359375,3.0258750958153184,16,1
shor_malicious_5,6,0,5,1,2,0,1,14,43.8720703125,1.7854581387130481,16,1
shor_malicious_6,7,1,5,2,1,1,1,16,13.3056640625,3.7709263100100396,16,1
shor_malicious_7,6,2,5,1,2,0,0,15,14.404296875,3.081290719119583,16,1
shor_malicious_8,7,0,5,1,2,1,1,15,45.947265625,2.03306111009737,16,1
shor_malicious_9,7,1,5,2,1,0,1,15,14.0380859375,3.5206993334337366,16,1
