name,depth,cx,h,x,ccx,total_gates,success_rate,entropy,unique_states,label
bv_clean_0,3,0,7,1,0,11,98.974609375,0.09872376934540342,4,0
bv_clean_1,5,1,7,1,0,12,97.1923828125,0.21942037743735032,5,0
bv_clean_2,5,1,7,1,0,12,97.5341796875,0.20042959581308642,4,0
bv_clean_3,6,2,7,1,0,13,95.01953125,0.3731694470416961,6,0
bv_clean_4,5,1,7,1,0,12,97.509765625,0.19773179517194,5,0
bv_clean_5,6,2,7,1,0,13,95.0439453125,0.3758288311433154,6,0
bv_clean_6,6,2,7,1,0,13,95.1416015625,0.36788528121625197,5,0
bv_clean_7,7,3,7,1,0,14,92.0654296875,0.5752998801938957,8,0
bv_clean_8,6,2,7,1,0,13,94.7265625,0.39266755291569944,6,0
bv_clean_9,6,2,7,1,0,13,94.873046875,0.38142482930632166,6,0
